,teaching,international,research,citations,income,scores,clusters,cluster
1067,54.6,67.1,37.1,87.0,44.7,59.8,0,light pink
1068,41.9,58.5,53.2,84.2,49.8,59.4,3,black
1069,57.8,61.3,44.8,76.0,42.1,59.2,3,black
1070,55.8,74.2,67.3,47.2,100.0,59.1,2,purple
1071,58.7,43.4,43.2,81.2,34.6,59.0,3,black
1072,46.3,86.1,40.5,82.3,74.0,59.0,0,light pink
1073,47.4,84.8,55.4,66.6,66.3,58.8,0,light pink
1074,37.8,66.6,53.3,81.2,56.0,58.1,0,light pink
1075,39.1,91.1,41.0,81.4,98.5,57.7,2,purple
1076,36.3,49.2,54.7,82.0,85.6,57.7,2,purple
1077,37.7,91.0,54.3,67.5,100.0,57.2,2,purple
1078,43.1,78.3,44.3,74.1,100.0,56.8,2,purple
1079,48.6,29.4,45.4,84.4,39.4,56.7,3,black
1080,39.6,75.0,41.2,84.9,38.0,56.3,0,light pink
1081,38.3,76.8,38.3,88.2,35.3,56.1,0,light pink
1082,50.4,42.4,31.6,90.8,43.2,56.1,3,black
1083,46.7,43.4,32.1,93.9,39.1,56.1,3,black
1084,50.0,52.6,49.1,71.5,32.0,55.9,3,black
1085,38.3,58.3,54.1,75.0,50.2,55.9,3,black
1086,41.0,49.5,48.9,74.9,94.6,55.5,2,purple
1087,43.8,58.7,58.0,64.8,34.4,55.3,3,black
1088,48.2,63.1,35.2,80.7,50.1,55.2,0,light pink
1090,46.8,28.6,38.7,86.5,51.0,55.0,3,black
1091,41.2,47.5,34.7,91.8,31.2,54.7,3,black
1092,42.5,78.3,48.9,65.4,67.0,54.6,0,light pink
1093,35.3,68.0,42.7,79.4,86.9,54.5,2,purple
1094,37.1,36.4,40.8,89.7,44.9,54.1,3,black
1096,42.8,50.7,29.9,89.7,41.4,53.6,3,black
1097,50.2,65.5,26.7,82.3,34.4,53.5,0,light pink
1099,33.1,89.1,47.1,65.8,98.2,52.9,2,purple
1100,36.0,53.0,48.6,71.1,87.6,52.9,2,purple
1101,35.5,51.3,46.5,77.8,30.7,52.6,3,black
1102,31.7,73.6,33.2,89.4,33.3,52.6,0,light pink
1103,30.4,92.6,21.2,97.5,33.1,52.5,0,light pink
1104,43.4,31.4,50.1,70.4,35.4,52.4,3,black
1105,28.6,53.4,41.4,88.7,31.5,52.4,3,black
1106,39.4,38.0,44.4,74.6,82.3,52.4,2,purple
1107,37.3,68.7,47.9,63.6,100.0,52.3,2,purple
1108,45.7,75.6,42.9,59.3,90.9,52.3,2,purple
1109,39.0,42.4,37.2,84.4,32.1,52.2,3,black
1110,45.5,66.9,54.7,52.4,46.4,52.0,0,light pink
1111,44.6,70.1,47.8,59.3,46.8,52.0,0,light pink
1112,38.9,57.8,49.7,66.4,40.5,51.9,3,black
1113,40.6,71.6,38.1,72.4,42.7,51.8,0,light pink
1114,49.7,30.2,33.9,77.5,49.4,51.8,3,black
1115,35.9,62.0,32.1,86.3,28.8,51.7,0,light pink
1116,31.0,88.0,29.2,87.0,37.7,51.7,0,light pink
1117,38.8,83.5,50.1,58.0,52.6,51.7,0,light pink
1118,45.0,86.2,41.6,55.6,100.0,51.6,2,purple
1119,38.9,77.4,26.9,78.7,98.7,51.6,2,purple
1120,34.5,73.7,36.6,79.2,40.8,51.6,0,light pink
1121,36.9,88.8,32.2,77.3,40.3,51.6,0,light pink
1122,29.5,80.1,32.2,86.3,31.3,51.2,0,light pink
1123,38.0,85.5,29.8,78.1,39.2,51.2,0,light pink
1124,30.1,67.4,48.6,72.0,33.5,51.1,0,light pink
1125,31.4,96.7,33.9,77.2,38.3,51.0,0,light pink
1126,52.4,32.1,51.4,52.0,67.5,50.8,2,purple
1127,38.5,32.7,34.5,83.6,42.3,50.5,3,black
1128,26.3,77.2,31.0,84.6,85.6,50.5,2,purple
1130,40.4,55.5,31.3,76.0,73.9,50.3,2,purple
1131,33.1,85.9,25.2,85.4,30.8,50.3,0,light pink
1132,29.7,58.6,46.1,73.1,42.5,50.2,0,light pink
1134,27.3,84.5,39.7,74.5,52.7,50.1,0,light pink
1135,40.7,33.1,38.9,74.6,52.0,50.1,3,black
1136,26.3,54.4,26.4,96.2,49.4,50.0,3,black
1138,34.8,81.2,32.6,75.4,32.2,49.7,0,light pink
1139,30.7,67.2,46.4,65.8,67.5,49.6,0,light pink
1140,22.7,47.3,27.2,97.1,74.8,49.5,3,black
1141,34.9,68.5,38.2,71.3,42.1,49.5,0,light pink
1142,39.8,82.9,42.4,58.7,34.6,49.4,0,light pink
1143,47.1,27.3,58.3,47.8,47.1,49.2,3,black
1144,39.4,25.5,36.1,76.6,61.3,49.1,3,black
1145,52.5,27.6,47.6,50.4,71.2,49.0,2,purple
1146,33.1,49.2,38.8,74.1,59.8,49.0,3,black
1147,33.8,28.6,35.9,83.6,31.4,48.9,3,black
1148,33.2,79.1,31.4,75.4,38.6,48.9,0,light pink
1149,25.9,62.2,25.8,91.8,37.6,48.7,0,light pink
1150,29.2,76.7,32.8,78.3,37.2,48.7,0,light pink
1151,51.8,29.3,48.1,47.3,85.9,48.5,2,purple
1152,33.9,76.0,32.0,73.1,43.0,48.5,0,light pink
1153,40.1,55.9,28.4,71.8,86.6,48.4,2,purple
1154,42.8,72.2,39.6,57.5,36.7,48.3,0,light pink
1155,39.0,61.9,33.6,64.8,83.0,48.0,2,purple
1156,39.1,57.1,27.6,75.6,36.1,47.8,0,light pink
1157,37.1,63.3,35.2,67.7,30.0,47.5,0,light pink
1158,38.9,78.5,31.4,64.3,45.1,47.4,0,light pink
1159,38.4,70.3,36.3,62.3,39.2,47.4,0,light pink
1160,43.0,46.8,50.2,48.6,47.5,47.2,3,black
1161,51.9,43.6,25.6,62.3,71.9,47.0,2,purple
1162,27.1,79.6,29.0,77.0,33.1,46.7,0,light pink
1164,32.5,81.6,32.9,66.9,33.7,46.7,0,light pink
1165,28.8,50.6,24.3,86.5,36.8,46.6,3,black
1166,27.0,51.7,27.1,85.2,37.3,46.6,3,black
1167,34.5,61.1,33.2,64.1,100.0,46.6,2,purple
1168,26.7,88.0,33.5,67.0,74.5,46.6,0,light pink
1169,34.6,88.6,34.7,58.0,63.3,46.4,0,light pink
1170,31.1,75.0,31.2,70.3,37.7,46.3,0,light pink
1171,32.7,65.5,43.8,54.3,81.8,46.2,2,purple
1172,35.8,89.5,36.1,57.4,29.3,46.2,0,light pink
1173,30.1,63.4,35.3,67.5,57.8,46.1,0,light pink
1175,27.0,37.1,35.5,73.6,98.1,46.0,2,purple
1176,27.2,72.3,24.0,81.7,29.5,46.0,0,light pink
1177,40.2,55.4,39.3,56.2,39.4,45.9,3,black
1179,24.0,67.0,19.1,90.2,29.1,45.8,0,light pink
1180,32.5,57.8,22.9,80.3,32.3,45.8,0,light pink
1181,36.1,23.7,21.8,85.1,38.8,45.7,3,black
1182,30.7,35.6,35.5,71.5,65.6,45.6,3,black
1184,35.6,38.8,32.4,71.5,28.2,45.5,3,black
1185,34.5,48.5,19.8,82.0,34.5,45.4,3,black
1187,32.4,70.3,33.0,65.4,32.5,45.3,0,light pink
1188,36.5,62.4,34.8,60.6,41.6,45.3,0,light pink
1189,27.9,83.6,26.8,71.3,45.1,45.2,0,light pink
1190,25.5,46.8,28.6,81.2,44.4,45.2,3,black
1191,44.5,35.0,47.0,44.2,70.1,45.1,2,purple
1192,42.8,52.9,37.0,54.3,33.3,45.0,3,black
1193,45.5,43.3,34.9,56.2,31.1,45.0,3,black
1194,41.6,58.7,22.5,62.7,99.1,44.9,2,purple
1195,45.6,36.0,26.3,65.9,30.0,44.8,3,black
1196,36.0,70.6,34.1,58.7,34.4,44.8,0,light pink
1197,22.5,65.7,21.4,84.9,46.5,44.7,0,light pink
1198,15.9,61.5,14.5,99.0,44.7,44.6,0,light pink
1199,29.7,76.3,28.3,68.1,36.9,44.5,0,light pink
1200,20.5,49.8,22.8,88.2,45.9,44.3,3,black
1201,39.9,43.3,48.3,44.8,44.7,44.3,3,black
1402,92.2,67.0,98.1,99.7,89.1,94.3,1,pink
1403,92.9,67.6,98.6,98.9,44.0,93.3,1,pink
1404,88.6,90.7,97.7,95.5,72.9,93.2,1,pink
1405,91.5,69.0,96.7,99.1,63.1,92.9,1,pink
1406,89.7,87.8,95.6,95.2,51.1,92.0,1,pink
1407,89.1,84.3,88.2,100.0,95.7,91.9,1,pink
1408,86.6,61.2,94.7,99.6,82.7,90.9,1,pink
1409,84.2,58.5,96.7,99.1,44.8,89.5,1,pink
1410,84.6,92.7,88.3,89.4,72.7,87.5,1,pink
1411,88.5,59.8,90.8,94.0,42.0,87.5,1,pink
1412,83.9,65.2,89.9,97.3,36.8,87.1,1,pink
1414,78.2,96.6,90.2,83.5,73.2,84.6,1,pink
1416,75.6,59.7,84.2,93.6,100.0,83.0,1,pink
1417,79.0,43.8,82.0,94.4,43.0,81.0,1,pink
1418,77.0,49.8,86.5,88.9,55.7,80.9,1,pink
1419,73.5,50.5,75.2,96.6,100.0,79.9,1,pink
1420,71.6,59.0,83.8,91.5,33.7,79.4,1,pink
1421,74.4,71.2,85.1,83.0,46.1,79.3,1,pink
1422,72.7,36.7,78.9,96.9,77.0,79.2,1,pink
1423,70.4,90.6,80.4,85.1,46.2,78.7,1,pink
1424,81.4,32.4,85.1,74.7,51.2,76.1,1,pink
1425,61.6,59.3,74.9,92.0,53.0,74.3,1,pink
1426,72.0,94.9,78.1,66.0,53.4,73.3,1,pink
1427,64.5,47.9,68.9,95.0,44.7,73.2,1,pink
1428,62.5,68.9,71.2,85.8,72.3,72.8,1,pink
1429,64.3,33.1,72.0,91.5,58.1,72.3,1,pink
1430,65.1,56.4,69.1,83.0,100.0,71.9,2,purple
1431,67.7,43.9,79.0,77.8,51.7,71.9,1,pink
1432,67.7,33.6,71.3,87.7,53.3,71.9,1,pink
1433,60.5,84.8,69.0,85.3,40.1,71.8,1,pink
1434,60.4,81.3,70.9,80.6,61.2,71.2,1,pink
1435,65.4,87.4,74.2,71.3,40.6,70.9,1,pink
1436,54.7,98.8,56.9,95.0,61.9,70.9,0,light pink
1437,58.9,84.3,62.9,88.3,41.2,70.4,1,pink
1438,49.4,64.3,61.4,99.2,87.1,70.0,2,purple
1439,68.3,41.2,62.4,89.5,30.2,69.9,3,black
1440,63.3,79.0,69.9,76.0,38.6,69.6,1,pink
1441,55.6,87.0,62.3,88.3,39.0,69.4,0,light pink
1442,52.0,37.0,66.6,96.4,54.2,68.6,3,black
1444,62.1,81.9,72.6,65.1,56.0,67.5,1,pink
1445,57.1,60.6,68.0,76.8,65.5,66.8,1,pink
1446,53.7,91.3,70.9,71.1,38.9,66.5,0,light pink
1448,57.9,35.3,58.6,91.0,40.5,65.9,3,black
1449,70.0,53.7,61.9,63.7,100.0,65.2,2,purple
1450,64.1,44.6,68.3,65.0,99.7,65.1,2,purple
1451,75.5,30.3,77.1,48.7,86.3,64.8,2,purple
1452,51.8,77.8,66.8,72.9,57.6,64.7,0,light pink
1453,63.5,34.9,63.2,71.4,100.0,64.5,2,purple
1454,58.1,82.0,58.7,74.3,39.4,64.5,0,light pink
1455,55.5,37.0,54.2,92.0,32.7,64.1,3,black
1456,53.0,62.3,63.6,71.8,99.9,63.7,2,purple
1457,54.4,52.9,59.7,80.4,55.4,63.7,3,black
1458,56.4,47.8,46.7,94.4,30.3,63.6,3,black
1459,54.6,37.4,64.8,76.0,60.4,62.9,3,black
1460,70.4,29.0,68.4,57.0,73.3,62.8,2,purple
1461,52.8,83.6,60.8,69.0,67.3,62.7,2,purple
1462,43.9,92.5,55.9,75.9,100.0,62.2,2,purple
1463,50.5,94.5,47.1,79.9,76.8,62.2,0,light pink
1464,48.2,50.1,46.0,96.4,40.1,61.9,3,black
1465,45.0,59.5,58.2,82.3,47.3,61.3,3,black
1466,45.8,80.4,58.4,74.2,66.2,61.2,0,light pink
1467,52.7,36.0,49.3,84.4,100.0,61.1,2,purple
1468,46.9,53.9,48.0,92.3,32.8,61.0,3,black
1469,54.0,51.5,51.1,80.4,46.8,60.7,3,black
1470,41.7,70.8,37.1,99.9,34.6,59.8,0,light pink
1471,52.6,63.1,45.4,81.4,41.6,59.6,0,light pink
1472,55.5,77.9,71.4,42.6,100.0,59.2,2,purple
1473,39.8,66.2,53.7,82.3,54.4,59.1,0,light pink
1474,44.3,78.7,46.8,77.5,100.0,59.0,2,purple
1475,43.7,76.6,44.7,85.1,42.1,58.9,0,light pink
1476,41.2,91.2,41.1,81.4,97.7,58.4,2,purple
1477,55.2,42.7,44.6,81.3,34.4,58.4,3,black
1478,42.0,60.5,55.4,76.6,56.7,58.2,3,black
1479,48.7,81.9,36.2,84.8,39.4,58.1,0,light pink
1480,38.2,52.9,54.8,80.0,84.1,58.0,2,purple
1481,51.9,55.7,52.6,71.9,31.9,57.9,3,black
1482,49.4,56.6,58.0,67.6,33.5,57.6,3,black
1483,51.1,55.0,49.4,74.0,31.7,57.3,3,black
1484,37.2,80.4,40.7,88.9,34.8,56.9,0,light pink
1485,43.7,79.6,54.4,65.7,73.4,56.9,2,purple
1486,45.5,38.7,36.9,92.0,55.2,56.6,3,black
1487,44.9,38.8,51.4,74.0,99.6,56.5,2,purple
1489,43.6,51.1,33.9,92.9,58.7,56.4,3,black
1490,39.5,56.1,41.7,89.5,40.0,56.4,3,black
1491,42.5,49.1,51.6,73.8,85.3,56.2,2,purple
1492,44.8,40.3,49.1,78.7,52.8,56.1,3,black
1493,45.2,32.2,46.3,84.4,38.5,56.1,3,black
1494,49.0,42.9,32.4,89.5,42.3,55.5,3,black
1495,38.1,69.4,43.2,78.8,85.0,55.3,2,purple
1496,37.0,78.8,40.5,83.7,39.9,55.3,0,light pink
1497,46.0,28.3,38.2,87.7,59.4,55.2,3,black
1499,30.1,53.2,45.0,90.9,32.4,54.6,3,black
1500,45.6,64.0,37.4,78.8,49.0,54.6,0,light pink
1501,40.2,57.5,53.0,70.9,39.6,54.6,3,black
1502,32.4,89.7,48.1,70.1,96.1,54.3,2,purple
1504,47.3,64.7,30.0,83.3,33.4,53.9,0,light pink
1505,37.5,49.7,48.1,79.0,31.5,53.9,3,black
