,teaching,international,research,citations,income,scores,clusters,cluster
1823,76.8,53.7,85.2,94.4,56.3,82.4,1,pink
1824,67.4,57.1,88.8,99.1,57.5,82.3,1,pink
1825,69.8,93.6,80.6,94.3,32.2,81.3,1,pink
1826,68.6,89.8,77.2,96.3,36.1,80.3,1,pink
1827,69.8,53.9,78.4,96.5,81.2,79.5,1,pink
1828,71.7,96.2,84.5,79.4,49.8,79.2,1,pink
1829,64.5,93.8,75.8,93.8,40.1,78.2,1,pink
1830,60.6,73.1,81.1,92.2,75.8,77.5,1,pink
1831,70.5,62.8,77.4,85.7,100.0,77.3,1,pink
1832,74.7,49.3,72.3,95.3,30.4,77.2,1,pink
1833,61.3,98.6,67.5,94.6,65.4,76.1,1,pink
1834,67.1,51.2,70.0,98.6,43.1,75.6,1,pink
1835,62.0,87.1,75.5,86.6,64.6,75.4,1,pink
1836,60.2,90.5,73.2,91.5,42.6,75.3,1,pink
1837,59.9,68.6,76.9,87.3,100.0,74.8,2,purple
1838,64.5,45.8,81.2,86.8,52.8,74.5,1,pink
1839,68.8,62.8,69.6,88.2,68.2,74.4,1,pink
1840,66.1,85.5,72.1,78.9,40.3,72.6,1,pink
1841,56.9,42.9,69.8,98.7,56.7,72.2,1,pink
1842,52.6,61.5,66.0,99.2,90.4,72.2,2,purple
1843,57.8,71.5,72.7,86.0,73.7,72.1,1,pink
1844,77.8,49.2,72.4,69.1,100.0,72.0,2,purple
1845,81.4,30.3,83.0,60.9,50.8,71.1,1,pink
1846,60.1,58.4,72.7,84.3,57.3,71.0,1,pink
1847,64.6,99.5,72.8,70.1,53.7,71.0,1,pink
1848,59.3,31.7,69.7,92.2,63.1,70.3,1,pink
1849,73.3,39.5,83.0,58.8,100.0,70.0,2,purple
1850,52.6,70.3,66.9,87.8,100.0,70.0,2,purple
1851,63.7,62.6,77.0,73.6,36.1,69.9,1,pink
1852,65.1,33.0,68.2,86.6,48.5,69.7,3,black
1853,62.8,57.8,55.7,96.4,31.4,69.6,3,black
1854,54.7,93.3,77.3,72.3,48.0,69.5,1,pink
1855,61.0,63.8,66.0,80.1,99.2,69.4,2,purple
1856,70.6,85.5,47.7,87.1,37.1,69.0,0,light pink
1857,48.4,94.6,61.3,85.6,99.9,68.2,2,purple
1858,58.4,87.0,66.0,77.3,42.0,68.1,0,light pink
1859,54.3,84.4,68.1,77.5,72.4,68.1,1,pink
1860,52.2,66.5,64.7,87.4,62.8,67.8,1,pink
1861,49.4,80.5,66.1,82.6,68.1,67.2,1,pink
1862,49.2,89.3,62.8,82.4,76.7,67.0,2,purple
1863,54.3,44.9,55.6,99.2,33.5,67.0,3,black
1864,48.1,55.8,64.3,88.1,89.1,66.6,2,purple
1865,58.0,39.0,54.5,95.9,39.4,66.4,3,black
1866,57.8,51.0,49.5,97.7,30.3,66.1,3,black
1867,55.0,84.0,73.8,61.5,100.0,65.9,2,purple
1868,53.5,35.3,61.0,88.0,98.5,65.9,2,purple
1869,50.5,64.3,63.1,85.2,49.8,65.7,3,black
1870,49.3,56.3,58.9,93.0,38.0,65.5,3,black
1871,47.6,82.4,51.6,91.2,40.0,64.3,0,light pink
1872,47.9,86.4,51.9,87.7,34.4,63.6,0,light pink
1873,37.2,76.1,55.2,95.6,54.6,63.5,0,light pink
1874,57.9,69.2,72.2,60.2,35.1,63.2,0,light pink
1875,48.1,87.6,58.5,73.3,79.7,62.5,2,purple
1876,43.3,63.9,56.9,84.0,92.4,62.4,2,purple
1877,50.4,40.8,61.9,80.5,56.2,62.3,3,black
1878,41.6,85.8,48.3,92.3,31.6,61.9,0,light pink
1879,48.4,51.8,60.4,82.1,31.6,61.9,3,black
1880,47.0,58.2,59.8,79.3,59.2,61.7,3,black
1881,50.6,33.9,50.3,92.3,39.3,61.5,3,black
1882,47.4,90.3,53.1,78.2,37.7,61.3,0,light pink
1883,44.1,59.6,61.0,80.9,39.5,61.2,3,black
1884,49.8,83.3,42.7,86.2,45.0,61.0,0,light pink
1885,40.7,89.5,53.9,82.1,50.0,61.0,0,light pink
1886,47.4,60.3,51.1,80.5,100.0,60.7,2,purple
1887,66.5,30.9,70.5,50.0,85.4,60.5,2,purple
1888,49.7,92.3,47.3,78.8,30.6,60.4,0,light pink
1889,47.8,29.1,44.2,95.7,63.2,60.1,3,black
1890,70.6,26.1,69.3,46.6,79.0,59.9,2,purple
1891,37.5,95.5,47.7,82.7,95.4,59.9,2,purple
1892,48.3,51.0,37.1,96.7,48.9,59.7,3,black
1893,39.7,74.1,53.6,81.3,70.4,59.7,2,purple
1894,51.6,53.0,46.6,83.2,53.1,59.7,3,black
1895,39.4,87.3,40.0,94.3,31.9,59.5,0,light pink
1897,54.4,52.7,39.3,82.5,80.7,58.8,2,purple
1898,39.8,76.1,44.8,84.9,88.0,58.8,2,purple
1899,42.4,81.9,48.8,80.1,43.4,58.6,0,light pink
1900,34.1,93.5,41.3,93.3,36.8,58.5,0,light pink
1901,49.3,56.4,54.5,72.7,31.8,58.0,3,black
1902,47.3,56.4,52.6,76.8,32.2,58.0,3,black
1903,39.5,94.7,33.1,88.3,99.9,57.9,2,purple
1904,53.5,92.8,44.6,64.7,82.3,57.9,2,purple
1905,37.9,66.6,35.1,99.7,41.7,57.9,0,light pink
1906,50.7,38.3,35.8,93.3,40.8,57.8,3,black
1907,49.5,90.4,31.5,85.4,44.0,57.8,0,light pink
1908,36.9,76.8,50.7,79.8,68.3,57.7,0,light pink
1909,39.9,59.2,41.8,91.6,48.9,57.7,3,black
1910,34.5,64.6,47.7,86.9,85.3,57.7,2,purple
1911,47.6,47.6,48.1,81.7,33.7,57.6,3,black
1912,33.4,92.6,46.1,83.6,64.5,57.5,0,light pink
1913,49.4,54.1,56.3,63.2,98.1,57.2,2,purple
1914,39.8,88.4,43.6,82.0,37.5,57.2,0,light pink
1915,54.2,46.3,53.1,67.2,52.0,57.1,3,black
1916,46.3,84.2,45.5,69.6,92.6,57.0,2,purple
1917,52.8,74.1,32.7,82.9,37.4,57.0,0,light pink
1919,49.1,33.7,47.1,76.7,100.0,56.9,2,purple
1920,45.0,43.5,42.1,88.2,32.3,56.7,3,black
1921,42.1,54.2,54.5,71.2,88.3,56.6,2,purple
1922,39.4,82.0,41.8,82.7,34.7,56.2,0,light pink
1923,40.0,83.7,42.5,76.6,82.9,56.1,2,purple
1924,34.9,80.2,38.7,85.6,92.7,56.1,2,purple
1926,51.7,47.0,39.7,75.2,99.4,56.0,2,purple
1927,43.9,34.7,55.7,75.4,35.9,56.0,3,black
1928,40.3,46.3,44.1,85.6,58.2,55.9,3,black
1929,34.3,60.9,48.5,84.9,39.2,55.9,0,light pink
1930,39.7,36.6,37.6,96.4,35.7,55.8,3,black
1931,45.2,49.4,33.3,90.1,60.7,55.8,3,black
1932,35.1,92.7,33.2,91.2,34.4,55.7,0,light pink
1933,34.0,87.0,41.4,85.3,33.6,55.6,0,light pink
1934,34.9,98.5,40.5,78.5,72.4,55.4,0,light pink
1935,41.9,83.5,46.3,73.1,31.1,55.4,0,light pink
1936,46.1,40.5,33.2,92.0,34.1,55.3,3,black
1937,43.7,77.4,39.0,79.2,36.7,55.3,0,light pink
1938,43.3,68.2,44.7,75.5,38.3,55.1,0,light pink
1939,34.1,48.5,51.2,82.5,31.1,54.8,3,black
1940,46.4,80.7,48.1,63.6,47.4,54.7,0,light pink
1941,41.5,81.1,48.5,68.4,37.5,54.5,0,light pink
1942,37.7,56.7,47.5,73.8,99.5,54.5,2,purple
1943,33.4,88.3,37.2,86.1,30.6,54.4,0,light pink
1944,40.2,48.9,36.3,88.1,52.2,54.3,3,black
1945,40.8,92.6,50.5,63.6,30.2,54.2,0,light pink
1946,40.3,80.6,39.0,77.5,39.8,54.1,0,light pink
1947,31.1,45.6,34.2,99.9,36.1,53.9,3,black
1948,30.9,89.2,45.6,76.2,56.0,53.9,0,light pink
1949,40.3,50.3,40.0,83.8,34.9,53.8,3,black
1950,38.8,43.4,37.5,87.3,37.9,53.3,3,black
1951,43.3,33.9,40.5,75.9,100.0,53.0,2,purple
1952,32.8,85.1,43.2,72.4,79.3,52.9,2,purple
1953,31.9,83.5,28.7,92.7,28.5,52.9,0,light pink
1954,34.1,80.1,45.6,68.8,91.2,52.9,2,purple
1955,51.4,36.7,53.5,53.8,97.5,52.8,2,purple
1956,28.4,54.9,37.1,90.7,60.1,52.5,3,black
1957,39.0,84.4,44.3,63.9,78.1,52.4,2,purple
1958,42.2,53.1,38.0,75.0,68.5,52.3,2,purple
1959,32.8,85.4,30.9,85.9,36.6,52.2,0,light pink
1960,41.4,47.7,45.8,66.1,99.7,52.1,2,purple
1961,39.7,55.8,27.9,89.0,37.0,52.1,3,black
1962,41.9,90.5,30.8,75.8,28.0,52.0,0,light pink
1963,75.4,57.8,66.7,8.6,95.7,51.9,2,purple
1964,41.7,64.0,22.3,90.1,35.5,51.9,0,light pink
1965,38.7,38.6,41.8,79.5,32.4,51.7,3,black
1966,32.9,63.3,28.0,90.7,37.2,51.2,0,light pink
1967,39.3,85.1,37.3,69.9,34.2,51.2,0,light pink
1969,27.5,59.5,33.3,91.2,42.5,51.1,0,light pink
1970,32.1,86.6,27.8,86.0,31.7,51.1,0,light pink
1971,54.1,27.7,58.0,47.3,49.6,51.1,3,black
1972,37.3,85.1,29.9,77.8,50.0,51.1,0,light pink
1973,38.7,74.2,40.6,68.4,51.0,51.1,0,light pink
1974,29.7,91.4,31.4,82.6,43.1,51.0,0,light pink
1975,31.4,90.5,39.5,69.8,78.0,51.0,0,light pink
1976,38.5,49.2,37.4,78.9,31.1,50.9,3,black
1977,38.5,58.3,46.7,61.9,92.4,50.8,2,purple
1978,34.3,71.3,41.0,70.7,57.3,50.6,0,light pink
1979,35.0,86.3,38.5,70.8,33.5,50.6,0,light pink
1980,45.8,55.6,41.4,64.6,31.9,50.5,3,black
1981,35.4,74.4,43.9,66.5,39.5,50.3,0,light pink
1982,28.5,58.3,39.8,81.8,30.3,50.2,0,light pink
1983,42.5,45.2,23.2,84.5,71.2,50.2,3,black
1984,32.5,70.0,31.5,82.4,36.2,50.1,0,light pink
1985,30.9,78.1,31.6,82.0,34.6,50.1,0,light pink
1986,35.6,30.1,35.3,83.7,57.4,50.1,3,black
1987,28.3,47.0,25.7,97.3,38.6,49.9,3,black
1988,25.6,78.5,26.9,90.2,49.5,49.9,0,light pink
1989,34.6,50.9,35.8,79.1,47.9,49.9,3,black
1990,38.7,64.2,29.0,79.8,28.8,49.8,0,light pink
1991,32.4,31.9,38.1,84.6,32.0,49.7,3,black
1992,31.6,64.8,40.8,71.7,60.3,49.6,0,light pink
1993,34.1,60.0,29.3,83.3,46.8,49.6,0,light pink
1994,35.2,58.2,23.9,86.4,58.4,49.5,0,light pink
1995,25.0,99.8,26.7,84.8,38.1,49.4,0,light pink
1996,49.4,47.8,52.4,47.1,46.4,49.4,3,black
1997,37.3,61.1,22.2,83.8,68.4,49.3,0,light pink
1998,30.9,84.3,27.5,81.5,34.7,49.2,0,light pink
1999,25.6,69.5,18.1,100.0,37.7,49.2,0,light pink
2000,30.8,55.9,27.4,87.7,47.1,49.1,3,black
2001,30.5,64.9,22.9,91.0,29.0,48.9,0,light pink
2002,34.1,93.4,33.3,68.9,35.7,48.8,0,light pink
